role,policy_id,vector_hash,GEOID,cost_delay,cost_drop,total_cost
historical_2019,historical_2019,,36005036502,0.0,1400.0,1400.0
historical_2019,historical_2019,,36005036800,3942.0,400.0,4342.0
historical_2019,historical_2019,,36005036901,272.0,400.0,672.0
historical_2019,historical_2019,,36005036902,218.0,0.0,218.0
historical_2019,historical_2019,,36005037000,3768.0,3000.0,6768.0
historical_2019,historical_2019,,36005037100,1472.0,800.0,2272.0
historical_2019,historical_2019,,36005037200,860.0,1000.0,1860.0
historical_2019,historical_2019,,36005037300,1400.0,800.0,2200.0
historical_2019,historical_2019,,36005037400,164.0,3200.0,3364.0
historical_2019,historical_2019,,36005037504,1332.0,1600.0,2932.0
historical_2019,historical_2019,,36005037600,1470.0,2200.0,3670.0
historical_2019,historical_2019,,36005037800,1120.0,3800.0,4920.0
historical_2019,historical_2019,,36005037900,244.0,1000.0,1244.0
historical_2019,historical_2019,,36005038000,1698.0,0.0,1698.0
historical_2019,historical_2019,,36005038100,336.0,2200.0,2536.0
historical_2019,historical_2019,,36005038200,1070.0,4800.0,5870.0
historical_2019,historical_2019,,36005038301,190.0,1000.0,1190.0
historical_2019,historical_2019,,36005038303,280.0,0.0,280.0
historical_2019,historical_2019,,36005038304,120.0,0.0,120.0
historical_2019,historical_2019,,36005038500,982.0,1600.0,2582.0
historical_2019,historical_2019,,36005038600,496.0,6400.0,6896.0
historical_2019,historical_2019,,36005038700,568.0,4000.0,4568.0
historical_2019,historical_2019,,36005038800,8688.0,2200.0,10888.0
historical_2019,historical_2019,,36005038900,1338.0,5200.0,6538.0
historical_2019,historical_2019,,36005039000,2446.0,2000.0,4446.0
historical_2019,historical_2019,,36005039100,1238.0,800.0,2038.0
historical_2019,historical_2019,,36005039200,1256.0,10200.0,11456.0
historical_2019,historical_2019,,36005039300,616.0,2000.0,2616.0
historical_2019,historical_2019,,36005039400,1150.0,58800.0,59950.0
historical_2019,historical_2019,,36005039500,1768.0,1000.0,2768.0
historical_2019,historical_2019,,36005039600,3418.0,4600.0,8018.0
historical_2019,historical_2019,,36005039700,748.0,0.0,748.0
historical_2019,historical_2019,,36005039800,1638.0,3800.0,5438.0
historical_2019,historical_2019,,36005039901,5096.0,0.0,5096.0
historical_2019,historical_2019,,36005039902,494.0,800.0,1294.0
historical_2019,historical_2019,,36005040100,696.0,2400.0,3096.0
historical_2019,historical_2019,,36005040302,2372.0,800.0,3172.0
historical_2019,historical_2019,,36005040303,890.0,0.0,890.0
historical_2019,historical_2019,,36005040304,708.0,0.0,708.0
historical_2019,historical_2019,,36005040400,60.0,2400.0,2460.0
historical_2019,historical_2019,,36005040501,416.0,800.0,1216.0
historical_2019,historical_2019,,36005040502,1228.0,800.0,2028.0
historical_2019,historical_2019,,36005040600,150.0,1200.0,1350.0
historical_2019,historical_2019,,36005040701,160.0,0.0,160.0
historical_2019,historical_2019,,36005040702,608.0,1200.0,1808.0
historical_2019,historical_2019,,36005040800,2748.0,8000.0,10748.0
historical_2019,historical_2019,,36005040900,764.0,3600.0,4364.0
historical_2019,historical_2019,,36005041100,712.0,1200.0,1912.0
historical_2019,historical_2019,,36005041300,578.0,4000.0,4578.0
historical_2019,historical_2019,,36005041400,5292.0,4800.0,10092.0
historical_2019,historical_2019,,36005041500,2016.0,4200.0,6216.0
historical_2019,historical_2019,,36005041800,4408.0,1800.0,6208.0
historical_2019,historical_2019,,36005041900,2816.0,4400.0,7216.0
historical_2019,historical_2019,,36005042000,268.0,2000.0,2268.0
historical_2019,historical_2019,,36005042100,652.0,5200.0,5852.0
historical_2019,historical_2019,,36005042200,4212.0,400.0,4612.0
historical_2019,historical_2019,,36005042300,1270.0,4000.0,5270.0
historical_2019,historical_2019,,36005042400,1230.0,4000.0,5230.0
historical_2019,historical_2019,,36005042500,4338.0,6200.0,10538.0
historical_2019,historical_2019,,36005042600,3090.0,11000.0,14090.0
historical_2019,historical_2019,,36005042800,382.0,3600.0,3982.0
historical_2019,historical_2019,,36005042901,216.0,1200.0,1416.0
historical_2019,historical_2019,,36005042902,908.0,3200.0,4108.0
historical_2019,historical_2019,,36005043000,6540.0,4600.0,11140.0
historical_2019,historical_2019,,36005043101,78.0,400.0,478.0
historical_2019,historical_2019,,36005043102,1536.0,0.0,1536.0
historical_2019,historical_2019,,36005043400,5394.0,2000.0,7394.0
historical_2019,historical_2019,,36005043501,712.0,800.0,1512.0
historical_2019,historical_2019,,36005043502,0.0,1000.0,1000.0
historical_2019,historical_2019,,36005043503,3178.0,15400.0,18578.0
historical_2019,historical_2019,,36005043600,3234.0,1600.0,4834.0
historical_2019,historical_2019,,36005044200,702.0,9200.0,9902.0
historical_2019,historical_2019,,36005044400,10542.0,1200.0,11742.0
historical_2019,historical_2019,,36005044800,4584.0,4000.0,8584.0
historical_2019,historical_2019,,36005044901,6340.0,9000.0,15340.0
historical_2019,historical_2019,,36005044902,1532.0,800.0,2332.0
historical_2019,historical_2019,,36005045101,1198.0,5200.0,6398.0
historical_2019,historical_2019,,36005045102,3000.0,3400.0,6400.0
historical_2019,historical_2019,,36005045600,3398.0,7200.0,10598.0
historical_2019,historical_2019,,36005045800,28.0,0.0,28.0
historical_2019,historical_2019,,36005046000,118.0,1800.0,1918.0
historical_2019,historical_2019,,36005046203,594.0,2400.0,2994.0
historical_2019,historical_2019,,36005046205,56.0,1200.0,1256.0
historical_2019,historical_2019,,36005046207,112.0,800.0,912.0
historical_2019,historical_2019,,36005046208,1110.0,5200.0,6310.0
historical_2019,historical_2019,,36005046209,390.0,1000.0,1390.0
historical_2019,historical_2019,,36005048401,1882.0,4200.0,6082.0
historical_2019,historical_2019,,36005048402,360.0,1000.0,1360.0
historical_2019,historical_2019,,36005050400,1744.0,4400.0,6144.0
historical_2019,historical_2019,,36005051601,15452.0,13800.0,29252.0
historical_2019,historical_2019,,36047000100,1948.0,10400.0,12348.0
historical_2019,historical_2019,,36047000200,3208.0,12800.0,16008.0
historical_2019,historical_2019,,36047000301,1500.0,3400.0,4900.0
historical_2019,historical_2019,,36047000501,728.0,400.0,1128.0
historical_2019,historical_2019,,36047000502,660.0,800.0,1460.0
historical_2019,historical_2019,,36047000700,1500.0,4600.0,6100.0
historical_2019,historical_2019,,36047000900,280.0,3000.0,3280.0
historical_2019,historical_2019,,36047001100,96.0,1800.0,1896.0
historical_2019,historical_2019,,36047001300,3592.0,4000.0,7592.0
historical_2019,historical_2019,,36047001501,280.0,2800.0,3080.0
historical_2019,historical_2019,,36047001502,384.0,800.0,1184.0
historical_2019,historical_2019,,36047001801,1810.0,1600.0,3410.0
historical_2019,historical_2019,,36047001802,1992.0,0.0,1992.0
historical_2019,historical_2019,,36047001803,64.0,800.0,864.0
historical_2019,historical_2019,,36047002000,11984.0,2000.0,13984.0
historical_2019,historical_2019,,36047002100,628.0,5200.0,5828.0
historical_2019,historical_2019,,36047002200,8802.0,12000.0,20802.0
historical_2019,historical_2019,,36047002300,88.0,0.0,88.0
historical_2019,historical_2019,,36047002901,230.0,1000.0,1230.0
historical_2019,historical_2019,,36047003000,1622.0,4800.0,6422.0
historical_2019,historical_2019,,36047003101,0.0,2000.0,2000.0
historical_2019,historical_2019,,36047003102,1504.0,5600.0,7104.0
historical_2019,historical_2019,,36047003300,1352.0,2400.0,3752.0
historical_2019,historical_2019,,36047003400,17548.0,9800.0,27348.0
historical_2019,historical_2019,,36047003500,2924.0,400.0,3324.0
historical_2019,historical_2019,,36047003600,4322.0,5400.0,9722.0
historical_2019,historical_2019,,36047003700,456.0,0.0,456.0
historical_2019,historical_2019,,36047003800,1980.0,6000.0,7980.0
historical_2019,historical_2019,,36047003900,1472.0,3000.0,4472.0
historical_2019,historical_2019,,36047004100,2458.0,8600.0,11058.0
historical_2019,historical_2019,,36047004300,544.0,3200.0,3744.0
historical_2019,historical_2019,,36047004400,9162.0,12800.0,21962.0
historical_2019,historical_2019,,36047004500,18736.0,5600.0,24336.0
historical_2019,historical_2019,,36047004600,640.0,7000.0,7640.0
historical_2019,historical_2019,,36047004700,4096.0,1800.0,5896.0
historical_2019,historical_2019,,36047004900,432.0,3000.0,3432.0
historical_2019,historical_2019,,36047005000,6238.0,21600.0,27838.0
historical_2019,historical_2019,,36047005100,12330.0,6800.0,19130.0
historical_2019,historical_2019,,36047005201,840.0,4400.0,5240.0
historical_2019,historical_2019,,36047005202,3776.0,1800.0,5576.0
historical_2019,historical_2019,,36047005301,2060.0,4600.0,6660.0
