calendar_year,random_seed,display_role,policy_id,vector_hash,efficiency_loss,equity_loss,historical_efficiency_loss,historical_equity_loss,efficiency_ratio_historical,equity_ratio_historical
2019,336,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13350450.666666668,501.5415726751696,16419478,1160.1949292345921,0.81308618134307731,0.43229078152069533
2019,337,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13253672.666666668,521.4958655344534,16419478,1160.1949292345921,0.80719208410076548,0.44948986794701518
2019,338,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13305676.666666664,526.7808317128694,16419478,1160.1949292345921,0.81035929806457085,0.45404510779959972
2019,339,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13242055.333333336,522.9158106546798,16419478,1160.1949292345921,0.80648455044267153,0.45071375290328125
2019,340,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13305756.666666666,525.0007688516915,16419478,1160.1949292345921,0.81036417032664898,0.45251082867432191
2019,341,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13389933.333333332,536.9860984209137,16419478,1160.1949292345921,0.81549080508730742,0.46284127338427172
2019,342,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13261307.333333332,512.8775349151922,16419478,1160.1949292345921,0.80765706031174267,0.44206152086317907
2019,343,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13281860.666666666,516.2586167334752,16419478,1160.1949292345921,0.80890882564394961,0.44497575685325835
2019,344,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13180987.333333332,540.8589738879128,16419478,1160.1949292345921,0.80276530918542799,0.46617939818503623
2019,345,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13206215.333333336,531.499107625819,16419478,1160.1949292345921,0.80430177703172634,0.45811190364059035
2019,321,most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,14845634.666666668,504.2111762115931,16419478,1160.1949292345921,0.90414778512853256,0.4345917772147419
2019,322,most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,14818645.999999998,497.1200639999808,16419478,1160.1949292345921,0.90250408691433415,0.42847977652164243
2019,323,most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,14826396.0,511.2172602155995,16419478,1160.1949292345921,0.90297608730314083,0.4406304900443424
2019,324,most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,14874218.66666667,481.29180465204035,16419478,1160.1949292345921,0.90588864436900307,0.41483701792211752
2019,325,most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,14853175.333333334,502.0190214278556,16419478,1160.1949292345921,0.90460703643156826,0.43270230611941163
