arm_name,budget_group,search_mode,global_batch,observations,target_observations,endpoint_best_loss,hypervolume_pct_final,elapsed_hours
d100_median_city_qnehvi,city,qnehvi,12,832,3200,,87.54315909952294,4.825180492485557
d100_median_city_qnehvi,city,qnehvi,13,896,3200,,87.88873750493235,6.590205791052225
d100_median_city_qnehvi,city,qnehvi,14,960,3200,,89.48950153517522,8.344383368268334
d100_median_city_qnehvi,city,qnehvi,15,1024,3200,,89.99939200447145,8.80512620114222
d100_median_city_qnehvi,city,qnehvi,16,1088,3200,,90.17002183777751,9.47714939817
d100_median_city_qnehvi,city,qnehvi,17,1152,3200,,91.82432121454747,10.133097987123053
d100_median_city_qnehvi,city,qnehvi,18,1216,3200,,91.82441081700024,10.650991947528608
d100_median_city_qnehvi,city,qnehvi,19,1280,3200,,91.82441081700024,10.978558573626943
d100_median_city_qnehvi,city,qnehvi,20,1344,3200,,91.82441081700024,11.449619232379721
d100_median_city_qnehvi,city,qnehvi,21,1408,3200,,91.82441081700024,12.06735261799694
d100_median_city_qnehvi,city,qnehvi,22,1472,3200,,91.82723803252486,13.87948364389083
d100_median_city_qnehvi,city,qnehvi,23,1536,3200,,91.82811265846667,15.455640060635828
d100_median_city_qnehvi,city,qnehvi,24,1600,3200,,96.26819713079553,18.17962044050027
d100_median_city_qnehvi,city,qnehvi,25,1664,3200,,98.17274383007928,23.478267256641104
d100_median_city_qnehvi,city,qnehvi,26,1728,3200,,98.18244365151207,27.134085127061937
d100_median_city_qnehvi,city,qnehvi,27,1792,3200,,98.21415230060423,30.497820969528334
d100_median_city_qnehvi,city,qnehvi,28,1856,3200,,98.21534828433651,33.973780491260555
d100_median_city_qnehvi,city,qnehvi,29,1920,3200,,98.43884510829011,38.18052388519333
d100_median_city_qnehvi,city,qnehvi,30,1984,3200,,99.30277026815315,43.16093363890667
d100_median_city_qnehvi,city,qnehvi,31,2048,3200,,99.62894129450922,48.32134142751555
d100_median_city_qnehvi,city,qnehvi,32,2112,3200,,99.80294442614637,52.759653229551674
d100_median_city_qnehvi,city,qnehvi,33,2176,3200,,99.99397376268553,55.71579669759138
d100_median_city_qnehvi,city,qnehvi,34,2240,3200,,99.99476973374178,65.3322869060864
d100_median_city_qnehvi,city,qnehvi,35,2304,3200,,100.0,67.97691225025112
