role,policy_id,vector_hash,budget_group,display_role,paper_role,borough,category,borough_budget_share,inspection_priority_weight,per_review_retention_probability
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Staten Island,Root/Sewer/Sidewalk,0.11071715945172791,0.0002878878960255295,0.3067054259404565
city_balanced,candidate_d100_delay_median_cap1_city_8750ba64fb5a6a21,d2155f4ed96c16ec94f65c3dec053214803c3843b41713176a711cbcffbd30c2,city,balanced,City Balanced,Bronx,Hazard,,0.04990587041335415,0.9026286052706025
city_balanced,candidate_d100_delay_median_cap1_city_8750ba64fb5a6a21,d2155f4ed96c16ec94f65c3dec053214803c3843b41713176a711cbcffbd30c2,city,balanced,City Balanced,Bronx,Illegal Tree Damage,,0.0408090326146189,1.0
city_balanced,candidate_d100_delay_median_cap1_city_8750ba64fb5a6a21,d2155f4ed96c16ec94f65c3dec053214803c3843b41713176a711cbcffbd30c2,city,balanced,City Balanced,Bronx,Other,,0.0840780452445287,1.0
city_balanced,candidate_d100_delay_median_cap1_city_8750ba64fb5a6a21,d2155f4ed96c16ec94f65c3dec053214803c3843b41713176a711cbcffbd30c2,city,balanced,City Balanced,Bronx,Prune,,9.185253358750307e-05,0.1
city_balanced,candidate_d100_delay_median_cap1_city_8750ba64fb5a6a21,d2155f4ed96c16ec94f65c3dec053214803c3843b41713176a711cbcffbd30c2,city,balanced,City Balanced,Bronx,Remove Tree,,0.018295081089766116,0.4455668303530403
city_balanced,candidate_d100_delay_median_cap1_city_8750ba64fb5a6a21,d2155f4ed96c16ec94f65c3dec053214803c3843b41713176a711cbcffbd30c2,city,balanced,City Balanced,Bronx,Root/Sewer/Sidewalk,,9.185253358750307e-05,0.1337947450198784
city_balanced,candidate_d100_delay_median_cap1_city_8750ba64fb5a6a21,d2155f4ed96c16ec94f65c3dec053214803c3843b41713176a711cbcffbd30c2,city,balanced,City Balanced,Brooklyn,Hazard,,0.08364174798607064,0.7122792711959736
city_balanced,candidate_d100_delay_median_cap1_city_8750ba64fb5a6a21,d2155f4ed96c16ec94f65c3dec053214803c3843b41713176a711cbcffbd30c2,city,balanced,City Balanced,Brooklyn,Illegal Tree Damage,,0.09185253495621247,0.18183563231967106
city_balanced,candidate_d100_delay_median_cap1_city_8750ba64fb5a6a21,d2155f4ed96c16ec94f65c3dec053214803c3843b41713176a711cbcffbd30c2,city,balanced,City Balanced,Brooklyn,Other,,0.012306276129760351,0.4061021860163257
